instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_FO|47774,47774,NIFTY2592325450PE,NIFTY,588.9,2025-09-23,25450.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47773,47773,NIFTY2592325450CE,NIFTY,25.9,2025-09-23,25450.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47759,47759,NIFTY2592325250CE,NIFTY,60.3,2025-09-23,25250.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47756,47756,NIFTY2592325150PE,NIFTY,311.15,2025-09-23,25150.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47755,47755,NIFTY2592325150CE,NIFTY,87.95,2025-09-23,25150.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47758,47758,NIFTY2592325200PE,NIFTY,345.5,2025-09-23,25200.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47757,47757,NIFTY2592325200CE,NIFTY,73.2,2025-09-23,25200.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47763,47763,NIFTY2592325350CE,NIFTY,418.45,2025-09-23,25350.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47762,47762,NIFTY2592325300PE,NIFTY,422.4,2025-09-23,25300.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47765,47765,NIFTY2592325400CE,NIFTY,33.25,2025-09-23,25400.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47764,47764,NIFTY2592325350PE,NIFTY,445.5,2025-09-23,25350.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47761,47761,NIFTY2592325300CE,NIFTY,49.65,2025-09-23,25300.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47760,47760,NIFTY2592325250PE,NIFTY,387.5,2025-09-23,25250.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47788,47788,NIFTY2592325650PE,NIFTY,745.0,2025-09-23,25650.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47798,47798,NIFTY2592325750PE,NIFTY,872.3,2025-09-23,25750.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47797,47797,NIFTY2592325750CE,NIFTY,265.35,2025-09-23,25750.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47794,47794,NIFTY2592325700PE,NIFTY,827.5,2025-09-23,25700.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47793,47793,NIFTY2592325700CE,NIFTY,10.15,2025-09-23,25700.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47778,47778,NIFTY2592325500PE,NIFTY,595.15,2025-09-23,25500.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47777,47777,NIFTY2592325500CE,NIFTY,22.55,2025-09-23,25500.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47779,47779,NIFTY2592325550CE,NIFTY,335.7,2025-09-23,25550.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47787,47787,NIFTY2592325650CE,NIFTY,11.3,2025-09-23,25650.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47781,47781,NIFTY2592325600CE,NIFTY,14.0,2025-09-23,25600.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47780,47780,NIFTY2592325550PE,NIFTY,641.25,2025-09-23,25550.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47782,47782,NIFTY2592325600PE,NIFTY,754.05,2025-09-23,25600.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47606,47606,NIFTY2592324350CE,NIFTY,583.2,2025-09-23,24350.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47608,47608,NIFTY2592324400CE,NIFTY,563.15,2025-09-23,24400.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47607,47607,NIFTY2592324350PE,NIFTY,35.35,2025-09-23,24350.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47609,47609,NIFTY2592324400PE,NIFTY,40.65,2025-09-23,24400.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47611,47611,NIFTY2592324450PE,NIFTY,47.15,2025-09-23,24450.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47610,47610,NIFTY2592324450CE,NIFTY,530.0,2025-09-23,24450.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47623,47623,NIFTY2592324550PE,NIFTY,63.1,2025-09-23,24550.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47620,47620,NIFTY2592324500CE,NIFTY,479.5,2025-09-23,24500.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47622,47622,NIFTY2592324550CE,NIFTY,439.4,2025-09-23,24550.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47621,47621,NIFTY2592324500PE,NIFTY,54.85,2025-09-23,24500.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47697,47697,NIFTY2592324750CE,NIFTY,287.9,2025-09-23,24750.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47696,47696,NIFTY2592324700PE,NIFTY,98.9,2025-09-23,24700.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47695,47695,NIFTY2592324700CE,NIFTY,322.4,2025-09-23,24700.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47686,47686,NIFTY2592324650PE,NIFTY,84.7,2025-09-23,24650.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47685,47685,NIFTY2592324650CE,NIFTY,360.1,2025-09-23,24650.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47649,47649,NIFTY2592324600CE,NIFTY,398.1,2025-09-23,24600.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47650,47650,NIFTY2592324600PE,NIFTY,73.55,2025-09-23,24600.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47507,47507,NIFTY2592323050CE,NIFTY,1785.5,2025-09-23,23050.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47509,47509,NIFTY2592323050PE,NIFTY,7.95,2025-09-23,23050.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47504,47504,NIFTY2592323000PE,NIFTY,3.85,2025-09-23,23000.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47500,47500,NIFTY2592323000CE,NIFTY,1919.4,2025-09-23,23000.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47569,47569,NIFTY2592323950PE,NIFTY,13.2,2025-09-23,23950.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47568,47568,NIFTY2592323950CE,NIFTY,946.65,2025-09-23,23950.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47570,47570,NIFTY2592324000CE,NIFTY,937.25,2025-09-23,24000.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47578,47578,NIFTY2592324100CE,NIFTY,803.0,2025-09-23,24100.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47572,47572,NIFTY2592324050CE,NIFTY,847.7,2025-09-23,24050.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47571,47571,NIFTY2592324000PE,NIFTY,14.6,2025-09-23,24000.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47573,47573,NIFTY2592324050PE,NIFTY,29.05,2025-09-23,24050.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47558,47558,NIFTY2592323800CE,NIFTY,1075.65,2025-09-23,23800.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47557,47557,NIFTY2592323750PE,NIFTY,9.75,2025-09-23,23750.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47559,47559,NIFTY2592323800PE,NIFTY,9.9,2025-09-23,23800.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47567,47567,NIFTY2592323900PE,NIFTY,12.0,2025-09-23,23900.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47566,47566,NIFTY2592323900CE,NIFTY,988.6,2025-09-23,23900.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47561,47561,NIFTY2592323850PE,NIFTY,10.6,2025-09-23,23850.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47560,47560,NIFTY2592323850CE,NIFTY,1036.95,2025-09-23,23850.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47592,47592,NIFTY2592324250CE,NIFTY,673.8,2025-09-23,24250.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47598,47598,NIFTY2592324300CE,NIFTY,649.9,2025-09-23,24300.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47599,47599,NIFTY2592324300PE,NIFTY,30.4,2025-09-23,24300.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47595,47595,NIFTY2592324250PE,NIFTY,26.35,2025-09-23,24250.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47579,47579,NIFTY2592324100PE,NIFTY,17.95,2025-09-23,24100.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47581,47581,NIFTY2592324150PE,NIFTY,116.0,2025-09-23,24150.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47580,47580,NIFTY2592324150CE,NIFTY,745.9,2025-09-23,24150.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47586,47586,NIFTY2592324200CE,NIFTY,730.0,2025-09-23,24200.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47589,47589,NIFTY2592324200PE,NIFTY,23.5,2025-09-23,24200.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47529,47529,NIFTY2592323300PE,NIFTY,5.2,2025-09-23,23300.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47528,47528,NIFTY2592323300CE,NIFTY,1587.7,2025-09-23,23300.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47525,47525,NIFTY2592323250PE,NIFTY,7.5,2025-09-23,23250.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47532,47532,NIFTY2592323400CE,NIFTY,1488.85,2025-09-23,23400.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47531,47531,NIFTY2592323350PE,NIFTY,5.05,2025-09-23,23350.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47534,47534,NIFTY2592323450CE,NIFTY,1424.0,2025-09-23,23450.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47533,47533,NIFTY2592323400PE,NIFTY,5.65,2025-09-23,23400.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47530,47530,NIFTY2592323350CE,NIFTY,1538.3,2025-09-23,23350.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47518,47518,NIFTY2592323150CE,NIFTY,1686.95,2025-09-23,23150.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47517,47517,NIFTY2592323100PE,NIFTY,4.3,2025-09-23,23100.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47519,47519,NIFTY2592323150PE,NIFTY,4.6,2025-09-23,23150.0,0.05,75.0,OPTIDX,PE,NSE_FO
